titulo,categoria,descripcion,enlace,imagen,ubicacion,tipo,fecha_extraccion,precio,telefono,detalles
Rafting en la Amazonía,aventura,,https://colombia.travel/es/amazonas/rafting-en-la-amazonia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Rafting-1.jpg?itok=hnaGWwvv,Caquetá,resultado_busqueda,2025-09-02T09:17:42.753913,Consultar,,
Florencia,naturaleza,,https://colombia.travel/es/florencia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/Aguas%20verde%20esmeralda%2C%20Caqueta%2C%20Cortesia%20Mario%20Carvajal.jpg?itok=KZTjBmNn,Florencia,resultado_busqueda,2025-09-02T09:17:42.754919,Consultar,,
La Pedrera,naturaleza,,https://colombia.travel/es/amazonas/la-pedrera,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/la-pedrera_0.jpg?itok=WUD6_Fqm,Caquetá,resultado_busqueda,2025-09-02T09:17:42.754919,Consultar,,
Conoce el Jardín Botánico de la Universidad de la Amazonia,naturaleza,,https://colombia.travel/es/florencia/conoce-el-jardin-botanico-de-la-universidad-de-la-amazonia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/PROCOLOMBIA_18.jpg?itok=-g0QJR4-,Amazonia,resultado_busqueda,2025-09-02T09:17:42.755919,Consultar,,
Popayán,naturaleza,,https://colombia.travel/es/popayan,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/Petronio_%C3%81lvarez_Popay%C3%A1n_2019_053%20%281%29%20%281%29_1%20%281%29.jpg?itok=MFPWaa7x,Caquetá,resultado_busqueda,2025-09-02T09:17:42.755919,Consultar,,
Chiribiquete: Turismo colombiano en el corazón del Amazonas,naturaleza,,https://colombia.travel/es/blog/chiribiquete-turismo-colombiano-en-el-corazon-del-amazonas,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/Chiribiquete_-turismo-colombiano-en-el-coraz%C3%B3n-del-Amazonas.jpg?itok=S7Ne6lTn,Caquetá,resultado_busqueda,2025-09-02T09:17:42.756920,Consultar,,
Sorpréndete en el Parque Nacional Natural Cueva de los Guácharos,naturaleza,,https://colombia.travel/es/pitalito/sorprendete-en-el-parque-nacional-natural-cueva-de-los-guacharos,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Parque%20Nacional%20Natural%20Cueva%20de%20los%20Gua%CC%81charos.jpg?itok=dSCKhYVa,Caquetá,resultado_busqueda,2025-09-02T09:17:42.756920,Consultar,,
Conoce el Parque Nacional Natural Cueva de los Guácharos,naturaleza,,https://colombia.travel/es/neiva/conoce-el-parque-nacional-natural-cueva-de-los-guacharos,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Parque%20Nacional%20Natural%20Cueva%20de%20los%20Gua%CC%81charos%20%281%29.jpg?itok=gSMkPiSs,Caquetá,resultado_busqueda,2025-09-02T09:17:42.757919,Consultar,,
Todo lo que debes saber acerca de la pesca deportiva en Colombia,naturaleza,,https://colombia.travel/es/blog/todo-lo-que-debes-saber-acerca-de-la-pesca-deportiva-en-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/pesca-deportiva.jpg?itok=3n43cRWl,Caquetá,resultado_busqueda,2025-09-02T09:17:42.757919,Consultar,,
Tu propio Road Movie en el desierto de la Tatacoa,naturaleza,,https://colombia.travel/es/blog/tu-propio-road-movie-en-el-desierto-de-la-tatacoa,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/PORTADA_1900X880_5_1.jpg?itok=BOIx3Jz-,Caquetá,resultado_busqueda,2025-09-02T09:17:42.758921,Consultar,,
5 parques naturales de Colombia en 5 climas diferentes,naturaleza,,https://colombia.travel/es/blog/5-parques-naturales-de-colombia-en-5-climas-diferentes,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/portada.jpg?itok=yXfKrs8E,Caquetá,resultado_busqueda,2025-09-02T09:17:54.875473,Consultar,,
"Recorrido por la cocina colombiana (Región insular, Orinoquía y llanos orientales)",tour,,https://colombia.travel/es/blog/recorrido-por-la-cocina-colombiana-region-insular-orinoquia-y-llanos,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/Chontaduros%20en%20galeria%20alameda%2C%20Cali_%20Cortesia%20Mario%20Carvajal%20www.mariocarvajal.com__0.jpg?itok=KGDj9AH9,Caquetá,resultado_busqueda,2025-09-02T09:17:54.875473,Consultar,,
5 frutas colombianas: Regiones con sabores de otro mundo,atraccion_turistica,,https://colombia.travel/es/blog/descubre-las-frutas-tropicales-de-colombia-y-los-maravillosos-lugares-de-donde-proceden,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/frutas.jpg?itok=iq5V0CxP,Caquetá,resultado_busqueda,2025-09-02T09:17:54.876515,Consultar,,
Página no encontrada,destino_principal,Destino turístico en Caquetá,https://colombia.travel/es/destinos/caqueta,https://colombia.travel/sites/default/files/styles/imagen_650x450_escala_y_recorte/public/que-hacer_0.jpg?itok=VkSRohJl,Caquetá,destino,2025-09-02T09:19:51.457762,Consultar,,
Florencia,destino_principal,Destino turístico en Caquetá,https://colombia.travel/en/florencia,https://colombia.travel/sites/default/files/styles/imagen_650x450_escala_y_recorte/public/destino/Aguas%20verde%20esmeralda%2C%20Caqueta%2C%20Cortesia%20Mario%20Carvajal.jpg?itok=46dJ4db1,Florencia,destino,2025-09-02T09:20:09.907101,Consultar,,
