fuente,nombre,municipio,departamento,categoria,subtipo,rnt,descripcion,certificaciones,email,redes_sociales,url,decreto
gobernacion,Capilla de Los Santos Apóstoles,Agrado,Huila,Categoría Religiosa,,,,,,,,Ord. 007 de 1992
gobernacion,Capilla de Taperas,Agrado,Huila,Categoría Religiosa,,,,,,,,Ord. 007 de 1992
gobernacion,Casa Cural,Agrado,Huila,Categoría Domestica,,,,,,,,Ord. 025 de 1993 - 040 de 2001
gobernacion,Casa Hacienda Buenavista,Agrado,Huila,Categoría Hacienda,,,,,,,,Ord. 007 de 1992
gobernacion,Casa Hacienda El Tabor,Agrado,Huila,Categoría Domestica,,,,,,,,Ord. 025 de 1993 - 040 de 2001
gobernacion,Iglesia,Agrado,Huila,Categoría Religiosa,,,,,,,,Ord. 025 de 1993 - 040 de 2001
gobernacion,Iglesia Parroquial,Aipe,Huila,Categoría Religiosa,,,,,,,,Ord. 007 de 1992
gobernacion,Piedrapintada,Aipe,Huila,Categoría Arqueológica,,,,,,,,Ord. 025 de 1992
gobernacion,Colegio Departamental Divino Salvador,Altamira,Huila,Categoría Institucional,,,,,,,,Ord. 025 de 1993 - 040 de 2001
gobernacion,Iglesia inspección de Otás,Campoalegre,Huila,Categoría Religiosa,,,,,,,,Ord. 007 de 1992
