anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2015,1,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,173.0
2015,1,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,6725.0
2015,2,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,24.0
2015,2,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1013.0
2015,3,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,74.0
2015,3,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2294.0
2015,4,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,61.0
2015,4,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4015.0
2015,5,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,66.0
2015,5,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1594.0
2015,6,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,14.0
2015,6,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,3665.0
2015,7,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,52.0
2015,7,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2841.0
2015,8,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,24.0
2015,8,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1978.0
2015,9,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,37.0
2015,9,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1037.0
2015,10,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,54.0
2015,10,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2517.0
2015,11,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,119.0
2015,11,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2534.0
2015,12,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,92.0
2015,12,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2615.0
2016,1,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,153.0
2016,1,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,6762.0
2016,2,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,8.0
2016,2,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1143.0
2016,3,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,67.0
2016,3,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,5312.0
2016,4,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,41.0
2016,4,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1341.0
2016,5,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,79.0
2016,5,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2872.0
2016,6,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,28.0
2016,6,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2843.0
2016,7,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,32.0
2016,7,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4212.0
2016,8,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,60.0
2016,8,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2824.0
2016,9,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,93.0
2016,9,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1882.0
2016,10,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,30.0
2016,10,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,3635.0
2016,11,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,78.0
2016,12,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,88.0
