titulo,categoria,descripcion,enlace,imagen,ubicacion,tipo,fecha_extraccion,precio,telefono,detalles
Puerto Asís,naturaleza,,https://colombia.travel/es/puerto-asis,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/Puerto%20Asi%CC%81s%20Putumayo.jpg?itok=TU14SLGW,Puerto asís,resultado_busqueda,2025-09-02T08:39:30.920934,Consultar,,
Rafting en la Amazonía,naturaleza,,https://colombia.travel/es/amazonas/rafting-en-la-amazonia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Rafting-1.jpg?itok=hnaGWwvv,Putumayo,resultado_busqueda,2025-09-02T08:39:30.921934,Consultar,,
Mocoa,etnoturismo,,https://colombia.travel/es/mocoa,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/Cascada%20del%20fin%20del%20mundo%20PANO%20DJI_0233.jpg?itok=-HauQBvU,Mocoa,resultado_busqueda,2025-09-02T08:39:30.921934,Consultar,,
Parque Nacional Natural Cahuinarí,naturaleza,,https://colombia.travel/es/amazonas/parque-nacional-natural-cahuinari,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/7Parque-Nacional-Natural-Cahuinari.jpg?itok=MktIM8tJ,Putumayo,resultado_busqueda,2025-09-02T08:39:30.922935,Consultar,,
Descansa en las aguas termales de Colón,atraccion_turistica,,https://colombia.travel/es/sibundoy/descansa-en-las-aguas-termales-de-colon,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/PROCOLOMBIA_38.jpg?itok=t9lKsEke,Colón,resultado_busqueda,2025-09-02T08:39:30.922935,Consultar,,
Sibundoy,amazonico,,https://colombia.travel/es/sibundoy,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/Valle%20de%20Sibundoy%20PANO%20DJI_0251%20%281%29.jpg?itok=KPzF2IAY,Sibundoy,resultado_busqueda,2025-09-02T08:39:30.922935,Consultar,,
Avistamiento de aves,avistamiento,,https://colombia.travel/es/avistamiento-de-aves,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Tangara-Rastrojera_Tangara-vitriolona-Foto-Christopher-Calonje-www.colombiabirdwatch.com_.jpg?itok=bJRdSdFG,Putumayo,resultado_busqueda,2025-09-02T08:39:30.924479,Consultar,,
Todo lo que debes saber acerca de la pesca deportiva en Colombia,naturaleza,,https://colombia.travel/es/blog/todo-lo-que-debes-saber-acerca-de-la-pesca-deportiva-en-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/pesca-deportiva.jpg?itok=3n43cRWl,Putumayo,resultado_busqueda,2025-09-02T08:39:30.924479,Consultar,,
Iniciativas de turismo y posconflicto en Colombia,atraccion_turistica,,https://colombia.travel/es/blog/iniciativas-de-turismo-y-posconflicto-en-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/Encabezado-Posconflicto.jpg?itok=_8sS-fy0,Putumayo,resultado_busqueda,2025-09-02T08:39:30.925522,Consultar,,
Disfruta del deporte a través del turismo colombiano,aventura,,https://colombia.travel/es/encanto/experiencias/turismo-colombiano-a-traves-del-deporte,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/suesca_escalador_0.jpg?itok=JGWZ7fxK,Putumayo,resultado_busqueda,2025-09-02T08:39:30.925522,Consultar,,
