anio,mes,departamento,pais_origen,vnr_origen,vnr_total_depto
2018,1,TOLIMA,Estados Unidos,108.0,445.0
2018,1,TOLIMA,México,47.0,445.0
2018,1,TOLIMA,Ecuador,36.0,445.0
2018,1,TOLIMA,Chile,29.0,445.0
2018,1,TOLIMA,Brasil,25.0,445.0
2018,1,TOLIMA,Argentina,23.0,445.0
2018,1,TOLIMA,España,23.0,445.0
2018,1,TOLIMA,Costa Rica,17.0,445.0
2018,1,TOLIMA,Panamá,16.0,445.0
2018,1,TOLIMA,Canadá,15.0,445.0
2018,1,TOLIMA,Alemania,14.0,445.0
2018,1,TOLIMA,Perú,11.0,445.0
2018,1,TOLIMA,Reino Unido,10.0,445.0
2018,1,TOLIMA,Cuba,6.0,445.0
2018,1,TOLIMA,Italia,6.0,445.0
2018,1,TOLIMA,Francia,5.0,445.0
2018,1,TOLIMA,Guatemala,5.0,445.0
2018,1,TOLIMA,Honduras,5.0,445.0
2018,1,TOLIMA,Países Bajos,4.0,445.0
2018,1,TOLIMA,República Dominicana,4.0,445.0
2018,1,TOLIMA,Suecia,4.0,445.0
2018,1,TOLIMA,Australia,3.0,445.0
2018,1,TOLIMA,Bélgica,3.0,445.0
2018,1,TOLIMA,Bolivia,3.0,445.0
2018,1,TOLIMA,Paraguay,3.0,445.0
2018,1,TOLIMA,Suiza,3.0,445.0
2018,1,TOLIMA,Corea del Sur,2.0,445.0
2018,1,TOLIMA,El Salvador,2.0,445.0
2018,1,TOLIMA,República Checa,2.0,445.0
2018,1,TOLIMA,Rusia,2.0,445.0
2018,1,TOLIMA,Antillas Neerlandesas,1.0,445.0
2018,1,TOLIMA,China,1.0,445.0
2018,1,TOLIMA,Filipinas,1.0,445.0
2018,1,TOLIMA,Grecia,1.0,445.0
2018,1,TOLIMA,Israel,1.0,445.0
2018,1,TOLIMA,Jamaica,1.0,445.0
2018,1,TOLIMA,Nueva Zelanda,1.0,445.0
2018,1,TOLIMA,Polonia,1.0,445.0
2018,1,TOLIMA,Siria,1.0,445.0
2018,2,TOLIMA,Estados Unidos,85.0,305.0
2018,2,TOLIMA,Ecuador,37.0,305.0
2018,2,TOLIMA,México,20.0,305.0
2018,2,TOLIMA,España,19.0,305.0
2018,2,TOLIMA,Brasil,15.0,305.0
2018,2,TOLIMA,Perú,14.0,305.0
2018,2,TOLIMA,Argentina,13.0,305.0
2018,2,TOLIMA,Chile,11.0,305.0
2018,2,TOLIMA,Canadá,10.0,305.0
2018,2,TOLIMA,Panamá,9.0,305.0
2018,2,TOLIMA,Alemania,6.0,305.0
2018,2,TOLIMA,Países Bajos,6.0,305.0
2018,2,TOLIMA,Reino Unido,6.0,305.0
2018,2,TOLIMA,Costa Rica,5.0,305.0
2018,2,TOLIMA,Francia,5.0,305.0
2018,2,TOLIMA,Australia,4.0,305.0
2018,2,TOLIMA,Bolivia,4.0,305.0
2018,2,TOLIMA,Guatemala,3.0,305.0
2018,2,TOLIMA,Italia,3.0,305.0
2018,2,TOLIMA,Suiza,3.0,305.0
2018,2,TOLIMA,Uruguay,3.0,305.0
2018,2,TOLIMA,Bélgica,2.0,305.0
2018,2,TOLIMA,China,2.0,305.0
2018,2,TOLIMA,Nicaragua,2.0,305.0
2018,2,TOLIMA,República Checa,2.0,305.0
2018,2,TOLIMA,Rusia,2.0,305.0
2018,2,TOLIMA,Angola,1.0,305.0
2018,2,TOLIMA,Aruba,1.0,305.0
2018,2,TOLIMA,Egipto,1.0,305.0
2018,2,TOLIMA,El Salvador,1.0,305.0
2018,2,TOLIMA,Finlandia,1.0,305.0
2018,2,TOLIMA,India,1.0,305.0
2018,2,TOLIMA,Mozambique,1.0,305.0
2018,2,TOLIMA,Polonia,1.0,305.0
2018,2,TOLIMA,Portugal,1.0,305.0
2018,2,TOLIMA,Puerto Rico,1.0,305.0
2018,2,TOLIMA,República Dominicana,1.0,305.0
2018,2,TOLIMA,Rumania,1.0,305.0
2018,2,TOLIMA,Siria,1.0,305.0
2018,2,TOLIMA,Suecia,1.0,305.0
2018,3,TOLIMA,Estados Unidos,124.0,408.0
2018,3,TOLIMA,México,52.0,408.0
2018,3,TOLIMA,Ecuador,33.0,408.0
2018,3,TOLIMA,España,30.0,408.0
2018,3,TOLIMA,Argentina,19.0,408.0
2018,3,TOLIMA,Canadá,18.0,408.0
2018,3,TOLIMA,Alemania,15.0,408.0
2018,3,TOLIMA,Panamá,15.0,408.0
2018,3,TOLIMA,Perú,14.0,408.0
2018,3,TOLIMA,Chile,13.0,408.0
2018,3,TOLIMA,Reino Unido,9.0,408.0
2018,3,TOLIMA,Brasil,7.0,408.0
2018,3,TOLIMA,Costa Rica,6.0,408.0
2018,3,TOLIMA,Francia,6.0,408.0
2018,3,TOLIMA,Italia,6.0,408.0
2018,3,TOLIMA,Cuba,4.0,408.0
2018,3,TOLIMA,Honduras,4.0,408.0
2018,3,TOLIMA,República Dominicana,4.0,408.0
2018,3,TOLIMA,Suecia,4.0,408.0
2018,3,TOLIMA,El Salvador,3.0,408.0
2018,3,TOLIMA,Suiza,3.0,408.0
2018,3,TOLIMA,Austria,2.0,408.0
2018,3,TOLIMA,Bélgica,2.0,408.0
2018,3,TOLIMA,China,2.0,408.0
2018,3,TOLIMA,Guatemala,2.0,408.0
2018,3,TOLIMA,Países Bajos,2.0,408.0
2018,3,TOLIMA,Rusia,2.0,408.0
2018,3,TOLIMA,Australia,1.0,408.0
2018,3,TOLIMA,Camerún,1.0,408.0
2018,3,TOLIMA,Dinamarca,1.0,408.0
2018,3,TOLIMA,Japón,1.0,408.0
2018,3,TOLIMA,Nicaragua,1.0,408.0
2018,3,TOLIMA,Nueva Zelanda,1.0,408.0
2018,3,TOLIMA,Ucrania,1.0,408.0
2018,4,TOLIMA,Estados Unidos,82.0,276.0
2018,4,TOLIMA,México,24.0,276.0
2018,4,TOLIMA,Brasil,15.0,276.0
2018,4,TOLIMA,Argentina,13.0,276.0
2018,4,TOLIMA,Chile,13.0,276.0
2018,4,TOLIMA,España,12.0,276.0
2018,4,TOLIMA,Ecuador,11.0,276.0
2018,4,TOLIMA,Perú,11.0,276.0
2018,4,TOLIMA,Alemania,9.0,276.0
2018,4,TOLIMA,Francia,9.0,276.0
2018,4,TOLIMA,Países Bajos,8.0,276.0
2018,4,TOLIMA,Suiza,8.0,276.0
2018,4,TOLIMA,Canadá,7.0,276.0
2018,4,TOLIMA,Panamá,7.0,276.0
2018,4,TOLIMA,Cuba,6.0,276.0
2018,4,TOLIMA,Reino Unido,6.0,276.0
2018,4,TOLIMA,Rusia,6.0,276.0
2018,4,TOLIMA,Costa Rica,4.0,276.0
2018,4,TOLIMA,Austria,3.0,276.0
2018,4,TOLIMA,Bolivia,3.0,276.0
2018,4,TOLIMA,Italia,3.0,276.0
2018,4,TOLIMA,Bulgaria,2.0,276.0
2018,4,TOLIMA,China,2.0,276.0
2018,4,TOLIMA,El Salvador,2.0,276.0
2018,4,TOLIMA,Portugal,2.0,276.0
2018,4,TOLIMA,República Dominicana,2.0,276.0
2018,4,TOLIMA,Guatemala,1.0,276.0
2018,4,TOLIMA,Iraq,1.0,276.0
2018,4,TOLIMA,Nicaragua,1.0,276.0
2018,4,TOLIMA,Polonia,1.0,276.0
2018,4,TOLIMA,Trinidad y Tobago,1.0,276.0
2018,4,TOLIMA,Ucrania,1.0,276.0
2018,5,TOLIMA,Estados Unidos,92.0,382.0
2018,5,TOLIMA,México,92.0,382.0
2018,5,TOLIMA,España,22.0,382.0
2018,5,TOLIMA,Brasil,16.0,382.0
2018,5,TOLIMA,Ecuador,14.0,382.0
2018,5,TOLIMA,Alemania,13.0,382.0
2018,5,TOLIMA,Perú,13.0,382.0
2018,5,TOLIMA,Argentina,11.0,382.0
2018,5,TOLIMA,Panamá,11.0,382.0
2018,5,TOLIMA,Chile,10.0,382.0
2018,5,TOLIMA,Países Bajos,10.0,382.0
2018,5,TOLIMA,Canadá,9.0,382.0
2018,5,TOLIMA,China,8.0,382.0
2018,5,TOLIMA,Francia,7.0,382.0
2018,5,TOLIMA,Guatemala,7.0,382.0
2018,5,TOLIMA,Bélgica,5.0,382.0
2018,5,TOLIMA,Costa Rica,5.0,382.0
2018,5,TOLIMA,República Dominicana,5.0,382.0
2018,5,TOLIMA,Paraguay,4.0,382.0
2018,5,TOLIMA,Reino Unido,3.0,382.0
2018,5,TOLIMA,Suecia,3.0,382.0
2018,5,TOLIMA,Cuba,2.0,382.0
2018,5,TOLIMA,Israel,2.0,382.0
2018,5,TOLIMA,Nicaragua,2.0,382.0
2018,5,TOLIMA,Rusia,2.0,382.0
2018,5,TOLIMA,Trinidad y Tobago,2.0,382.0
2018,5,TOLIMA,Antillas Neerlandesas,1.0,382.0
2018,5,TOLIMA,Austria,1.0,382.0
2018,5,TOLIMA,Bolivia,1.0,382.0
2018,5,TOLIMA,Dinamarca,1.0,382.0
2018,5,TOLIMA,Egipto,1.0,382.0
2018,5,TOLIMA,El Salvador,1.0,382.0
2018,5,TOLIMA,Honduras,1.0,382.0
2018,5,TOLIMA,Irlanda,1.0,382.0
2018,5,TOLIMA,Italia,1.0,382.0
2018,5,TOLIMA,Puerto Rico,1.0,382.0
2018,5,TOLIMA,Suiza,1.0,382.0
2018,5,TOLIMA,Uruguay,1.0,382.0
2018,6,TOLIMA,Estados Unidos,308.0,789.0
2018,6,TOLIMA,España,62.0,789.0
2018,6,TOLIMA,México,61.0,789.0
2018,6,TOLIMA,Perú,45.0,789.0
2018,6,TOLIMA,Chile,43.0,789.0
2018,6,TOLIMA,Costa Rica,38.0,789.0
2018,6,TOLIMA,Argentina,32.0,789.0
2018,6,TOLIMA,Panamá,26.0,789.0
2018,6,TOLIMA,Ecuador,25.0,789.0
2018,6,TOLIMA,Canadá,13.0,789.0
2018,6,TOLIMA,China,12.0,789.0
2018,6,TOLIMA,Australia,11.0,789.0
2018,6,TOLIMA,Brasil,11.0,789.0
2018,6,TOLIMA,Alemania,10.0,789.0
2018,6,TOLIMA,Países Bajos,10.0,789.0
2018,6,TOLIMA,Bélgica,9.0,789.0
2018,6,TOLIMA,Italia,8.0,789.0
2018,6,TOLIMA,República Dominicana,7.0,789.0
2018,6,TOLIMA,Francia,6.0,789.0
2018,6,TOLIMA,Reino Unido,6.0,789.0
2018,6,TOLIMA,Bolivia,5.0,789.0
2018,6,TOLIMA,Japón,4.0,789.0
2018,6,TOLIMA,Suiza,4.0,789.0
2018,6,TOLIMA,Cuba,3.0,789.0
2018,6,TOLIMA,El Salvador,3.0,789.0
2018,6,TOLIMA,Rusia,3.0,789.0
2018,6,TOLIMA,Suecia,3.0,789.0
2018,6,TOLIMA,Austria,2.0,789.0
2018,6,TOLIMA,Guatemala,2.0,789.0
2018,6,TOLIMA,Hong Kong,2.0,789.0
2018,6,TOLIMA,Puerto Rico,2.0,789.0
2018,6,TOLIMA,Uruguay,2.0,789.0
2018,6,TOLIMA,Antillas Neerlandesas,1.0,789.0
2018,6,TOLIMA,Bulgaria,1.0,789.0
2018,6,TOLIMA,Corea del Sur,1.0,789.0
2018,6,TOLIMA,Honduras,1.0,789.0
2018,6,TOLIMA,Irlanda,1.0,789.0
2018,6,TOLIMA,Letonia,1.0,789.0
2018,6,TOLIMA,Nicaragua,1.0,789.0
2018,6,TOLIMA,Noruega,1.0,789.0
2018,6,TOLIMA,Nueva Zelanda,1.0,789.0
2018,6,TOLIMA,Polonia,1.0,789.0
2018,6,TOLIMA,Portugal,1.0,789.0
2018,7,TOLIMA,Estados Unidos,199.0,561.0
2018,7,TOLIMA,México,51.0,561.0
2018,7,TOLIMA,España,32.0,561.0
2018,7,TOLIMA,Ecuador,31.0,561.0
2018,7,TOLIMA,Francia,23.0,561.0
2018,7,TOLIMA,Brasil,22.0,561.0
2018,7,TOLIMA,Perú,17.0,561.0
2018,7,TOLIMA,Argentina,15.0,561.0
2018,7,TOLIMA,Chile,15.0,561.0
2018,7,TOLIMA,República Dominicana,13.0,561.0
2018,7,TOLIMA,Países Bajos,12.0,561.0
2018,7,TOLIMA,Costa Rica,11.0,561.0
2018,7,TOLIMA,Panamá,11.0,561.0
2018,7,TOLIMA,Reino Unido,11.0,561.0
2018,7,TOLIMA,Australia,10.0,561.0
2018,7,TOLIMA,Canadá,10.0,561.0
2018,7,TOLIMA,Alemania,7.0,561.0
2018,7,TOLIMA,Bélgica,6.0,561.0
2018,7,TOLIMA,Cuba,6.0,561.0
2018,7,TOLIMA,Guatemala,6.0,561.0
2018,7,TOLIMA,Bolivia,5.0,561.0
2018,7,TOLIMA,Italia,5.0,561.0
2018,7,TOLIMA,Japón,5.0,561.0
2018,7,TOLIMA,Rusia,5.0,561.0
2018,7,TOLIMA,Suiza,5.0,561.0
2018,7,TOLIMA,Austria,4.0,561.0
