departamento,municipio,rnt,razon_social,direccion
HUILA,NEIVA,30336,"CAJA DE COMPENSACIÓN FAMILIAR DEL HUILA CENTRO RECREACIONAL LOS LAGOS","KILOMETRO 1 VÍA NEIVA, PALERMO, PALERMO, HUILA COLOMBIA"
HUILA,PALERMO,5980,"CAJA DE COMPENSACIÓN FAMILIAR DEL HUILA CENTRO VACACIONAL PLAYA JUNCAL","KILOMETRO 15 VÍA YAGUARÁ, PALERMO, PALERMO, HUILA, COLOMBIA"
HUILA,RIVERA,1713,"INVERSIONES TURÍSTICAS DEL HUILA LTDA. HOTEL CENTRO TURÍSTICO LAS TERMALES","VEREDA EL SALADO, RIVERA, HUILA, COLOMBIA"
HUILA,ISNOS,55124,"AGENCIA OPERADORA DE TURISMO ADRENALINA EXTREMA CAÑÓN DEL MAGDALENA","FINCA EL VEGÓN, VEREDA EL MORTIÑÍ, ISNOS, HUILA"
HUILA,SAN AGUSTÍN,27170,AKAWANKA,"VDA EL TABLÓN"
HUILA,RIVERA,52121,"ALOJAMIENTO RURAL FINCA DE RECREO LA DIVINA","KM 1,5 VÍA ULLOA RIVERA"
HUILA,PITALITO,40042,"ALOJAMIENTO RURAL HORIZONTE LABOYANO","KM 2 VÍA SAN AGUSTÍN"
HUILA,GARZÓN,75126,"ALOJAMIENTO RURAL MARTYNI CAMPESTRE","KM 5 VÍA ZULUAGA VEREDA CLAROS"
HUILA,NEIVA,20351,"APARTHOTEL LOS CEREZOS","CARRERA 7 A N 15 - 26"
HUILA,PALERMO,83633,"APARTEHOTEL POSADA SUITE","KILÓMETRO 1 VÍA PALERMO"
HUILA,LA PLATA,21176,"BALCONES DE LUZ 103","CARRERA 5 NO. 5-54"
HUILA,SAN AGUSTÍN,66573,"CABAÑAS CAMPESTRES BUENA VISTA","BAJO MESITAS"
HUILA,SAN AGUSTÍN,12541,"CABAÑAS CHASKA // HOTEL FINCA EL MACO","FINCA EL MACO, VEREDA EL TABLÓN"
HUILA,PALERMO,97650,"CENTRO VACACIONAL SPIRITLAND ECOPARK","KM 13 VÍA NEIVA- YAGUARA"
HUILA,RIVERA,43909,"CLUB CAMPESTRE LOS KIOSKITOS VIVIENDA TURÍSTICA","KILÓMETRO 3 VÍA TERMALES"
HUILA,NEIVA,,COMFAMILIAR HUILA,"CALLE 11 Nº 5-63 B. CENTRO"
HUILA,VILLAVIEJA,86169,"COSMOS PACIFICOA HOTEL","LOTE 13 VILLA CAMPESTRE VISTA HERMOSA"
HUILA,ISNOS,52727,"ECOTEL HOTEL BORDONES","VEREDA SALTO DE BORDONES"
HUILA,GIGANTE,75895,"EL BOSQUE HOSTEL","KM 21 VÍA GIGANTE ZULUAGA"
HUILA,SAN AGUSTÍN,46633,"EL MONASTERIO SAN AGUSTÍN","VEREDA LA CUCHILLA"
HUILA,LA PLATA,96489,"EL SUEÑO DE JE","CARRERA 4 NO. 6-36"
HUILA,NEIVA,61711,"FINCA DE RECREO VILLA ANDREA","VEREDA RIVERITA"
HUILA,SUAZA,84105,"FINCA EL RECREO VILLA DEL RÍO","VEREDA LAS QUEMADAS"
