anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Alemania,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Argentina,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Australia,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Brasil,2.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Canadá,3.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Chile,2.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Ecuador,12.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,El Salvador,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,5.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Francia,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Guatemala,2.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,México,3.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Perú,7.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,1.0
2018,1,CAQUETA,,Visitantes No Residentes total por departamento,,,,,,,,42.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Argentina,1.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Canadá,1.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Corea del Sur,1.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Ecuador,5.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,España,1.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,3.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Francia,1.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,México,3.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Organismos internacionales,1.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Panamá,2.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Perú,4.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Portugal,1.0
2018,2,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Suiza,1.0
2018,2,CAQUETA,,Visitantes No Residentes total por departamento,,,,,,,,25.0
