titulo,categoria,descripcion,enlace,imagen,ubicacion,tipo,fecha_extraccion,precio,telefono,detalles,fuente
,informacion_turistica,Información turística disponible en Fontur,https://www.gov.co,https://www.fontur.com.co/sites/default/files/glazed-cms-media/gov.png?fid=2380,Caquetá,resultado_busqueda,2025-09-08T12:26:34.609449,Consultar,,,Fontur
Inicio,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.610450,Consultar,,,Fontur
Qué somos,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.610450,Consultar,,,Fontur
Marco legal,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/marco-legal,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.611451,Consultar,,,Fontur
Normatividad,informacion_turistica,Información turística disponible en Fontur,https://fontur.com.co/marco-normativo-del-sector-turismo,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.612453,Consultar,,,Fontur
Organigrama,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/nosotros/organigrama,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.612453,Consultar,,,Fontur
Directorio personal fontur,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/directorio-de-trabajadores-fontur,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.613426,Consultar,,,Fontur
Nuestros Directivos,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/nuestros-directivos-0,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.613426,Consultar,,,Fontur
Comité directivo,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/nosotros/comite-directivo,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.614447,Consultar,,,Fontur
Funciones y Deberes,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/funciones-y-deberes,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.614447,Consultar,,,Fontur
Modelo de gestión,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/modelo-de-gestion,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.615451,Consultar,,,Fontur
Informes,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/informes,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.616463,Consultar,,,Fontur
Gestión Documental,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/gestion-documental,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.616463,Consultar,,,Fontur
Naturaleza jurídica,naturaleza,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/naturaleza-juridica,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.617450,Consultar,,,Fontur
Objetivos y metas,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/objetivos-y-metas,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.617450,Consultar,,,Fontur
Plan estratégico sectorial,proyecto,Información turística disponible en Fontur,https://www.fontur.com.co/es/quienes-somos/plan-estrategico-sectorial,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.617450,Consultar,,,Fontur
Red turística de pueblos patrimonio,cultural,Información turística disponible en Fontur,https://www.fontur.com.co/es/programas/red-turistica-de-pueblos-patrimonio,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.618448,Consultar,,,Fontur
Tarjeta joven Colombia,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/programas/tarjeta-joven-colombia,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.619450,Consultar,,,Fontur
Competitividad,informacion_turistica,Información turística disponible en Fontur,https://herramientas.fontur.info/fontl/listadoCompetitividad,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.619985,Consultar,,,Fontur
Conoce nuestra gestión de Competitividad,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/proyectos/banco-de-proyectos-competitividad,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.619985,Consultar,,,Fontur
Infraestructura,informacion_turistica,Información turística disponible en Fontur,https://herramientas.fontur.info/fontl/listadoInfraestructura,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.621016,Consultar,,,Fontur
Conoce nuestra gestión Infraestructura,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/procesos-contractuales/banco-de-proyectos-infraestructura,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.621016,Consultar,,,Fontur
Mercadeo y promoción turística,informacion_turistica,Información turística disponible en Fontur,https://herramientas.fontur.info/fontl/listadoMercadeoyPromocionTuristica,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.622020,Consultar,,,Fontur
Conoce nuestra gestión de Mercadeo y Promoción Turística,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/proyectos/banco-de-proyectos-promocion-y-mercadeo,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.622020,Consultar,,,Fontur
Manuales,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/proyectos/manuales,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.623015,Consultar,,,Fontur
Documentación,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/proyectos/documentacion,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.623015,Consultar,,,Fontur
Paso a paso de formulación de proyectos,proyecto,Información turística disponible en Fontur,https://www.fontur.com.co/es/proyectos/paso-paso-de-formulacion-de-proyectos,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.623991,Consultar,,,Fontur
Procesos contractuales,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/proyectos/procesos-contractuales,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.623991,Consultar,,,Fontur
Aprobación de proyectos y ejecución presupuestal,proyecto,Información turística disponible en Fontur,https://www.fontur.com.co/es/proyectos/aprobacion-de-proyectos-y-ejecucion-presupuestal,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.625019,Consultar,,,Fontur
Contáctenos,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/servicio-al-cliente/contactenos,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.625019,Consultar,,,Fontur
Normativa Contribución Parafiscal,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co/es/contribucion-parafiscal/normativa-contribucion-parafiscal,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.626018,Consultar,,,Fontur
