titulo,categoria,descripcion,enlace,imagen,ubicacion,tipo,fecha_extraccion,precio,telefono
Conoce el Parque Nacional Natural Los Nevados,naturaleza,,https://colombia.travel/es/santa-rosa-de-cabal/conoce-el-parque-nacional-natural-los-nevados,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/parque_nacional_nevados.jpg?itok=lU7iPY-o,Tolima,resultado_busqueda,2025-09-01T15:03:42.493445,Consultar,
Ibagué,cultural,,https://colombia.travel/es/ibague,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/Ibague_0.jpg?itok=sZFiXFC3,Ibagué,resultado_busqueda,2025-09-01T15:03:42.494446,Consultar,
Sorpréndete en Reserva Natural Orquídeas del Tolima,naturaleza,,https://colombia.travel/es/ibague/sorprendete-en-reserva-natural-orquideas-del-tolima,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Reserva%20Natural%20Orqui%CC%81deas%20del%20Tolima.jpg?itok=V4B65Ilx,Tolima,resultado_busqueda,2025-09-01T15:03:42.494446,Consultar,
Fiestas de San Juan y San Pedro,atraccion_turistica,,https://colombia.travel/es/fiestas-san-juan-san-pedro-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/eventos/desfile-san-juan.jpg?itok=UXLb5_Bj,Tolima,resultado_busqueda,2025-09-01T15:03:42.495444,Consultar,
Visita el Nevado de Santa Isabel,atraccion_turistica,,https://colombia.travel/es/santa-rosa-de-cabal/visita-el-nevado-de-santa-isabel,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Nevado%20de%20Santa%20Isabel.jpg?itok=QQlCM41b,Tolima,resultado_busqueda,2025-09-01T15:03:42.496445,Consultar,
Visita el Parque Nacional Natural Los Nevados,naturaleza,,https://colombia.travel/es/manizales/visita-el-parque-nacional-natural-los-nevados,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/parque_nacional_natural_los_nevados.jpg?itok=gWKEa-5w,Tolima,resultado_busqueda,2025-09-01T15:03:42.496445,Consultar,
"Parque Natural Los Nevados, misterio y esplendor",naturaleza,,https://colombia.travel/es/blog/parque-natural-los-nevados-misterio-y-esplendor,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/5054441219_417fbfbce9_b.jpg?itok=3-pwImR4,Tolima,resultado_busqueda,2025-09-01T15:03:42.497445,Consultar,
El Hobo,atraccion_turistica,,https://colombia.travel/es/el-hobo,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/shutterstock_1832338756.jpg?itok=YBzFe7ho,Tolima,resultado_busqueda,2025-09-01T15:03:42.497445,Consultar,
Prado,atraccion_turistica,,https://colombia.travel/es/prado,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/prado_tolima.jpg?itok=2xvqQ1Mn,Tolima,resultado_busqueda,2025-09-01T15:03:42.497445,Consultar,
El Espinal,atraccion_turistica,,https://colombia.travel/es/el-espinal,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/el_espinal_tolima.jpg?itok=r1FlDr2z,Espinal,resultado_busqueda,2025-09-01T15:03:42.498444,Consultar,
