anio,mes,departamento,municipio,atractivo,total_entr
2015,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,173.0
2015,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,24.0
2015,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,74.0
2015,abril,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,61.0
2015,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,66.0
2015,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,14.0
2015,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,52.0
2015,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,24.0
2015,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,37.0
2015,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,54.0
2015,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,119.0
2015,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,92.0
2016,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,153.0
2016,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,8.0
2016,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,67.0
2016,abril,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,41.0
2016,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,79.0
2016,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,28.0
2016,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,32.0
2016,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,60.0
2016,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,93.0
2016,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,30.0
2016,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,78.0
2016,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,88.0
2017,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,204.0
2017,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,36.0
2017,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,25.0
2017,abril,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,103.0
2017,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,14.0
2017,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,26.0
2017,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,72.0
2017,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,37.0
2017,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,61.0
2017,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,122.0
2017,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,19.0
2017,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,68.0
2018,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,218.0
2018,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,43.0
2018,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,161.0
2018,abril,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,113.0
2018,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,46.0
2018,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,49.0
2018,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,83.0
2018,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,49.0
