anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2018,1,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,91
2018,1,PUTUMAYO,PUERTO CAICEDO,Visitantes extranjeros no residentes,,,,,,,,3
2018,1,PUTUMAYO,SAN MIGUEL,Visitantes extranjeros no residentes,,,,,,,,2
2018,2,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,79
2018,2,PUTUMAYO,SIBUNDOY,Visitantes extranjeros no residentes,,,,,,,,9
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Alemania,5.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Argentina,5.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Australia,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Austria,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Bulgaria,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Bélgica,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Canadá,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Chile,10.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Croacia,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Ecuador,94.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,España,3.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,8.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Francia,2.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Italia,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Malta,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,México,5.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Panamá,2.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Países Bajos,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Perú,4.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Polonia,8.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Reino Unido,1.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,República Checa,5.0
2018,2,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,República Dominicana,3.0
2018,2,PUTUMAYO,,Visitantes No Residentes total por departamento,,,,,,,,164.0
2018,3,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,85
2018,3,PUTUMAYO,PUERTO CAICEDO,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,PUTUMAYO,SAN MIGUEL,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Alemania,7.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Argentina,6.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Austria,2.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Bolivia,3.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Brasil,2.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Chile,1.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Corea del Sur,1.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Ecuador,114.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,10.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Francia,8.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Italia,2.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,México,3.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Organismos internacionales,5.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Países Bajos,1.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Perú,8.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Reino Unido,1.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,República Dominicana,1.0
2018,3,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Tailandia,1.0
2018,3,PUTUMAYO,,Visitantes No Residentes total por departamento,,,,,,,,176.0
2018,4,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,66
2018,4,PUTUMAYO,PUERTO CAICEDO,Visitantes extranjeros no residentes,,,,,,,,1
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Alemania,2.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Argentina,4.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Brasil,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Chile,3.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Costa Rica,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Cuba,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Dinamarca,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Ecuador,88.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,El Salvador,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,España,2.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,2.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Finlandia,2.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Francia,5.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Irlanda,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Israel,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Italia,2.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,México,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Perú,4.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Reino Unido,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,República Dominicana,4.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Suiza,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Uruguay,1.0
2018,4,PUTUMAYO,,Visitantes No Residentes total por departamento,,,,,,,,129.0
2018,5,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,50
2018,5,PUTUMAYO,SAN MIGUEL,Visitantes extranjeros no residentes,,,,,,,,1
2018,5,PUTUMAYO,SIBUNDOY,Visitantes extranjeros no residentes,,,,,,,,1
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Alemania,4.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Argentina,6.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Austria,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Brasil,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Bulgaria,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Bélgica,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Chile,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Ecuador,81.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,España,4.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,8.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Francia,8.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,México,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Perú,7.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Reino Unido,2.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Suiza,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Uruguay,1.0
2018,5,PUTUMAYO,,Visitantes No Residentes total por departamento,,,,,,,,128.0
2018,6,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,28
2018,6,PUTUMAYO,PUERTO CAICEDO,Visitantes extranjeros no residentes,,,,,,,,1
2018,6,PUTUMAYO,SIBUNDOY,Visitantes extranjeros no residentes,,,,,,,,4
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Alemania,3.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Argentina,8.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Chile,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Ecuador,73.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,El Salvador,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,España,3.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,5.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Francia,5.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Hong Kong,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Japón,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Líbano,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,México,6.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Países Bajos,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Perú,2.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Portugal,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Serbia,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Uruguay,1.0
2018,6,PUTUMAYO,,Visitantes No Residentes total por departamento,,,,,,,,114.0
2018,7,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,46
2018,7,PUTUMAYO,PUERTO CAICEDO,Visitantes extranjeros no residentes,,,,,,,,2
2018,7,PUTUMAYO,SAN MIGUEL,Visitantes extranjeros no residentes,,,,,,,,3
2018,7,PUTUMAYO,SIBUNDOY,Visitantes extranjeros no residentes,,,,,,,,1
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Alemania,4.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Argentina,2.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Australia,1.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Brasil,2.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Chile,3.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,China,1.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Corea del Sur,2.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Ecuador,92.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,España,7.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,12.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Francia,2.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Guatemala,1.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Italia,1.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,México,6.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Nueva Zelanda,1.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Países Bajos,1.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Perú,9.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Portugal,2.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Reino Unido,3.0
2018,7,PUTUMAYO,,Visitantes No Residentes por origen,,,,,,,Suiza,1.0
2018,7,PUTUMAYO,,Visitantes No Residentes total por departamento,,,,,,,,153.0
2018,8,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,45
2018,8,PUTUMAYO,PUERTO CAICEDO,Visitantes extranjeros no residentes,,,,,,,,1
