anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2015,1,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,6725.0
2015,2,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1013.0
2015,3,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2294.0
2015,4,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4015.0
2015,5,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1594.0
2015,6,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,3665.0
2015,7,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2841.0
2015,8,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1978.0
2015,9,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1037.0
2015,10,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2517.0
2015,11,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2534.0
2015,12,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2615.0
2016,1,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,6762.0
2016,2,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1143.0
2016,3,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,5312.0
2016,4,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1341.0
2016,5,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2872.0
2016,6,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2843.0
2016,7,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4212.0
2016,8,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2824.0
2016,9,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,1882.0
2016,10,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,3635.0
2017,1,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,8801.0
2017,2,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2660.0
2017,3,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,3113.0
2017,4,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,6104.0
2017,5,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2200.0
2017,6,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,3952.0
2017,7,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,5001.0
2017,8,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4064.0
2017,9,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2392.0
2017,10,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4144.0
2017,11,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4287.0
2017,12,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4178.0
2018,1,TOLIMA,ARMERO,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,TOLIMA,CAJAMARCA,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,TOLIMA,CHAPARRAL,Visitantes extranjeros no residentes,,,,,,,,6
2018,1,TOLIMA,CHAPARRAL,llegadas pasajeros Nacionales,,,,,,,,4
2018,1,TOLIMA,ESPINAL,Visitantes extranjeros no residentes,,,,,,,,6
2018,1,TOLIMA,FALAN,Visitantes extranjeros no residentes,,,,,,,,2
2018,1,TOLIMA,FLANDES,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,TOLIMA,FLANDES,llegadas pasajeros Nacionales,,,,,,,,48
2018,1,TOLIMA,HONDA,Visitantes extranjeros no residentes,,,,,,,,7
2018,1,TOLIMA,MARIQUITA,Visitantes extranjeros no residentes,,,,,,,,2
2018,1,TOLIMA,MARIQUITA,llegadas pasajeros Nacionales,,,,,,,,16
2018,1,TOLIMA,MELGAR,Visitantes extranjeros no residentes,,,,,,,,68
2018,1,TOLIMA,ROVIRA,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Alemania,14.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Antillas Neerlandesas,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Argentina,23.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Australia,3.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bolivia,3.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Brasil,25.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bélgica,3.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Canadá,15.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Chile,29.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,China,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Corea del Sur,2.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,17.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Cuba,6.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Ecuador,36.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,El Salvador,2.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,España,23.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,108.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Filipinas,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Francia,5.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Grecia,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Guatemala,5.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Honduras,5.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Israel,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Italia,6.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Jamaica,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,México,47.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Nueva Zelanda,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Panamá,16.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Paraguay,3.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,4.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Perú,11.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Polonia,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,10.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,República Checa,2.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,4.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Rusia,2.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Siria,1.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suecia,4.0
2018,1,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suiza,3.0
2018,1,TOLIMA,,Visitantes No Residentes total por departamento,,,,,,,,445.0
2018,1,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,10060.0
2018,2,TOLIMA,CAJAMARCA,Visitantes extranjeros no residentes,,,,,,,,2
2018,2,TOLIMA,CHAPARRAL,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,TOLIMA,CHAPARRAL,llegadas pasajeros Nacionales,,,,,,,,6
2018,2,TOLIMA,ESPINAL,Visitantes extranjeros no residentes,,,,,,,,9
2018,2,TOLIMA,FLANDES,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,TOLIMA,FLANDES,llegadas pasajeros Nacionales,,,,,,,,55
2018,2,TOLIMA,HONDA,Visitantes extranjeros no residentes,,,,,,,,3
2018,2,TOLIMA,MARIQUITA,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,TOLIMA,MARIQUITA,llegadas pasajeros Nacionales,,,,,,,,2
2018,2,TOLIMA,MELGAR,Visitantes extranjeros no residentes,,,,,,,,16
2018,2,TOLIMA,NATAGAIMA,Llegadas internacionales,,,,,,,,2
2018,2,TOLIMA,ORTEGA,Visitantes extranjeros no residentes,,,,,,,,3
2018,2,TOLIMA,PLANADAS,Visitantes extranjeros no residentes,,,,,,,,4
2018,2,TOLIMA,SALDAÑA,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Alemania,6.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Angola,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Argentina,13.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Aruba,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Australia,4.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bolivia,4.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Brasil,15.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bélgica,2.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Canadá,10.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Chile,11.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,China,2.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,5.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Ecuador,37.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Egipto,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,El Salvador,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,España,19.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,85.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Finlandia,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Francia,5.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Guatemala,3.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,India,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Italia,3.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Mozambique,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,México,20.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Nicaragua,2.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Panamá,9.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,6.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Perú,14.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Polonia,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Portugal,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Puerto Rico,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,6.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,República Checa,2.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Rumania,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Rusia,2.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Siria,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suecia,1.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suiza,3.0
2018,2,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Uruguay,3.0
2018,2,TOLIMA,,Visitantes No Residentes total por departamento,,,,,,,,305.0
2018,2,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2271.0
2018,3,TOLIMA,ALPUJARRA,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,TOLIMA,CAJAMARCA,Visitantes extranjeros no residentes,,,,,,,,2
2018,3,TOLIMA,CHAPARRAL,Visitantes extranjeros no residentes,,,,,,,,
2018,3,TOLIMA,CHAPARRAL,llegadas pasajeros Nacionales,,,,,,,,6
2018,3,TOLIMA,COELLO,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,TOLIMA,ESPINAL,Visitantes extranjeros no residentes,,,,,,,,7
2018,3,TOLIMA,FALAN,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,TOLIMA,FLANDES,Visitantes extranjeros no residentes,,,,,,,,3
2018,3,TOLIMA,FLANDES,llegadas pasajeros Nacionales,,,,,,,,59
2018,3,TOLIMA,GUAMO,Visitantes extranjeros no residentes,,,,,,,,4
2018,3,TOLIMA,HONDA,Visitantes extranjeros no residentes,,,,,,,,7
