nombre,categoria,departamento,municipio,telefono,enlace,enlace_canonico,fuente,anio,atractivo,codigo,colegio,constitucionbien,descripcioncompleta,descripción,direccion,estadoconservacion,indicador,link,mes,pais_origen,prestador,registro_nacional_de_turismo,representatividad,responsable,ubicación,valor,vereda
"""MACH"" MUSEO DE ARTE CONTEMPORANEO DEL HUILA",,Huila,Neiva,8753720,,,huila_travel,,,1.1.4.4,,,"Espacio que ofrece a los artistas de la región tres salas de exposición, para que muestren su producción, permitiendo que la comunidad educativa, los docentes, los investigadores y público en general conozcan el patrimonio en el área de las artes visuales. También se posibilita el intercambio con artistas de otras regiones y países. Se ofrecen visitas guiadas especializadas a estudiantes de colegios, universidades, público en general y turistas que visitan la ciudad. La intención de su creación parte del año 2001, concretándose su apertura y consolidación el 10 de octubre dl 2003, fecha a partir de la cual ha estado posicionándose en la región sur colombiana, gracias a sus características particulares de infraestructura y el valor significativo que le han otorgado los actores y productores culturales de la región, en el desarrollo de una variada programación participativa. Ubicado en el Centro Cultural y de Convenciones José Eustasio Rivera. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea",(1176 reviews),CARRERA 5 # 21-81 BLOQUE CULTU,21%,,https://huila.travel/inventario/55,,,,,24%,SITYC Huila,"Neiva, CARRERA 5 # 21-81 BLOQUE CULTU.",,CASCO URBANO DE LA CIUDAD DE N
ACADEMIA HUILENSE DE HISTORIA,,Huila,Neiva,8753070,,,huila_travel,,,1.1.4.4,,,"Fundada el 22 de mayo de 1910 como Centro de Historia de Neiva, hoy en día y luego de un largo trasegar como entidad, es una Corporación de carácter académico, destina al estudio y promoción de la historia y la cultura del departamento. Su portafolio de servicios contempla: Investigaciones históricas, estudios para elaborar construcción del conocimiento de los contextos locales, asesoría para alternativas de uso de edificios antiguos, genealogías, consulta de documentos archivos particulares, Archivo general de la Nación, Conferencias Institucionales, audiovisuales, salidas culturales. Cuenta con la SALA HUILA, donde reposa la producción bibliográfica y literaria del Huila, y otra sala donde se encuentra el protocolo archivo histórico de la notaría primera y segunda de Neiva (con documentos del año 1654 en adelante) y la hemeroteca. Además, allí mismo se encuentra el mueble que se usó para el primer Consejo de Gobierno del departamento de Huila, de igual forma el mobiliario (escritorios y biblioteca) del primer gobernador del Huila, doctor Rafael Puyo Perdomo. Ubicado en el Centro Cultural y de Convenciones José Eustasio Rivera. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea.",(1176 reviews),CARRERA 5 # 21-81 BLOQUE CULTU,21%,,https://huila.travel/inventario/43,,,,,28%,SITYC Huila,"Neiva, CARRERA 5 # 21-81 BLOQUE CULTU.",,CASCO URBANO DE LA CIUDAD NEIV
Achiras,,Huila,Neiva,0,,,huila_travel,,,41001.1.3.2.1.1.1.5831,,,Producto típico de la gastronomía huilense que se prepara en forma artesanal como un amasijo que se cuece y tuesta en horno de barro. Se dice que su receta se ha transmitido de generación en generación desde el siglo XVIII en un principio esta preparación era para el consumo casero pero luego por la,(1176 reviews),0,,,https://huila.travel/inventario/260,,,,,,SYTIC,"Neiva, 0.",,0
Antigua Estación del Ferrocarril,,Huila,Neiva,0,,,huila_travel,,,41001.1.1.1.4.10.1.5832,,,Edificio de mampostería y ladrillo con cubiertas de teja de barro sobre estructuras de madera. La construcción es de forma rectangular alargada de dos plantas en estilo Neocolonial en sus extremos norte y sur tiene adosados bloques de una sola planta y en la parte norte de su fachada occidental una torre del reloj sobre la misma fachada occidental presenta un corredor de acceso a la segunda planta cuya cubierta es una terraza este corredor da acceso por un conjunto de arcos a una plazoleta. Su fachada oriental está formada por un conjunto de arcos cerrados por puertas en forja que comunican un salón de doble altura utilizado como sala de abordaje donde se encontraban las taquillas y el andén de abordaje. La estación fue construida entre los años 1935 y 1938 año en que se dio al servicio como estación de la línea férrea que llegaba a la ciudad de Neiva para el transporte de pasajeros y de carga funcionó como estación del tren hasta el año 1985. El inmueble a través del Decreto 746 del 24 de abril de 1996 pertenece al Conjunto Patrimonial de orden Nacional de las Estaciones de Pasajeros del Ferrocarril en Colombia. 0,(1176 reviews),Carrera 16 No. 7 - 45,15%,,https://huila.travel/inventario/302,,,,,24%,SYTIC,"Neiva, Carrera 16 No. 7 - 45.",,Neiva
Arena y sol,,Huila,Campoalegre,3125080000,,,huila_travel,,,1.2.1,,,"Centro recreativo con un enfoque de bienestar y salud, pues cuenta con unas tinas de madera, estilo tonel donde los visitantes pueden someterse a un baño con esencias homeopáticas en agua calentada con leña, tiene una piscina diseñada para la relajación y el disfrute del paisaje y de la cúpula celeste en la noche, pues cuenta con bancos en concreto a todo el rededor. Cuenta con una torre de 14 mts desde la cual se hace observación astronómica y disfrute del paisaje. Vereda Potosí 300 Mts vía al Ancianato PTAP",(1176 reviews),Vereda Potosí 300 Mts vía al Ancianato PTAP,21%,,https://huila.travel/inventario/319,,,,,18%,SYTIC HUILA,"Campoalegre, Vereda Potosí 300 Mts vía al Ancianato PTAP.",,Vereda Potosí
AREPAS DE CHOCLO,,Huila,San Agustí­n,0,,,huila_travel,,,1.6.2,,,"Arepa de maíz tierno o dulce, molido, mezclado con queso fresco y agua caliente, para formar una masa suave casi liquida que se pone a asar sobre una piedra volcánica colocada sobre el fogón es necesario voltearla para terminar el proceso. Para llegar a San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), o llegar a Neiva por vía aérea, Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km),",(1176 reviews),,,,https://huila.travel/inventario/67,,,,,,SITYC Huila,"San Agustí­n, NA.",,
ARQUITECTURA COLONIAL LA JAGUA,,Huila,Garzón,0,,,huila_travel,,,1.1.2.1,,,"Centro poblado, con viviendas muy antiguas, la mayoría de ellas construidas en estilo colonial, en tapia pisada o bahareque, con techos en teja de barro, pisos en ladrillo cocido, vigas columnas y cielo raso en madera a la vista, puertas y ventanas en madera. Muchas de las construcciones nuevas se hacen en el mismo estilo arquitectónico, y las adiciones y restauraciones también. Ubicada a 13 Km al sur del casco urbano de garzón por la Troncal del Magdalena. Garzón esta ubicado a 113 Km de la ciudad de Neiva, por una excelente carretera que conduce a San Agustín.",(1176 reviews),,,,https://huila.travel/inventario/60,,,,,,SITYC Huila,"Garzón, NA.",,LA JAGUA
Arroz tapado,,Huila,Garzón,0,,,huila_travel,,,41298.1.3.2.1.1.1.5308,,,Plato de la gastronomía del municipio de Garzón considerado su plato principal. Se prepara una corona de arroz blanco y una salsa de pollo desmechado champiñones pimentón y cebolla en salsa bechamel que se deposita en el centro de la corona de arroz y se tapa con papitas fritas. 0,(1176 reviews),0,,,https://huila.travel/inventario/240,,,,,,SYTIC,"Garzón, 0.",,GARZON
ARTESANÍAS EN TOTUMO,,Huila,Villavieja,0,,,huila_travel,,,1.6.10,,,"Bisutería en totumo: aretes, collares, anillos y pulseras elaboradas a base de este producto natural que se encuentra en la región. El trabajo artesanal lo realizan en su mayoría mujeres de la localidad, quienes se han organizado en una asociación, a través de la cual han logrado gestionar acciones para el mejoramiento de la calidad de sus productos. El material sale del fruto del totumo, el cual cuando está maduro ""jecho"" en término regional, se parte y corta de acuerdo a la forma deseada, se pule y pinta a mano con vistosos colores. Además de bisutería se elaboran productos de uso doméstico y decorativo como lámparas y jarrones, siempre buscando su inclusión competitiva en el mercado regional, nacional e internacional, con el apoyo de diferentes entidades. Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada.",(1176 reviews),,,,https://huila.travel/inventario/110,,,,,,SITYC Huila,"Villavieja, NA.",,
ARTESANIAS TALLADAS EN MADERA,,Huila,Gigante,0,,,huila_travel,,,1.6.10,,,"Artesanías talladas en maderas blandas (Pauche o Arboloco), del cual se podan las algunas ramas, generado el rebrote inmediato. Las piezas talladas son lijadas y pintadas a mano con tintillas naturales. Se elaboran también vasijas y frutas al torno, en maderas finas excedentes de aprovechamientos con licencia y en MDF, pintadas también a mano con diseños precolombinos. Gigante está ubicado a 84 km de la ciudad de Neiva, por una vía en muy buen estado que conduce a San Agustín.",(1176 reviews),,,,https://huila.travel/inventario/136,,,,,,SITYC Huila,"Gigante, NA.",,EN EL CASCO URBANO
