Categoria,Municipio,Denominacion,Decreto
Categoría Religiosa,Agrado,Capilla de Los Santos Apóstoles,Ord. 007 de 1992
Categoría Religiosa,Agrado,Capilla de Taperas,Ord. 007 de 1992
Categoría Religiosa,Agrado,Iglesia,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Aipe,Iglesia Parroquial,Ord. 007 de 1992
Categoría Religiosa,Campoalegre,Iglesia inspección de Otás,Ord. 007 de 1992
Categoría Religiosa,Elías,Iglesia Parroquial,Ord. 007 de 1992
Categoría Religiosa,Garzón,Catedral,Ord. 007 de 1992
Categoría Religiosa,Garzón,Iglesia de La Jagua,Ord. 007 de 1992
Categoría Religiosa,Garzón,Iglesia del Rosario,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Garzón,Iglesia de Nazareth,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Garzón,Cementerio,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Gigante,Iglesia Parroquial,BICN
Categoría Religiosa,Gigante,Capilla Colonial de Rioloro,Ord. 007 de 1992
Categoría Religiosa,Gigante,Casa Cural Antigua,Ord. 007 de 1992
Categoría Religiosa,Guadalupe,Iglesia Parroquial,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Guadalupe,Capilla de Santa Lucía,Ord. 007 de 1992
Categoría Religiosa,La Plata,Iglesia Parroquial,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,La Plata,Templo de Monserrate,Ord. 040 de 2001
Categoría Religiosa,La Plata,Capilla de San Andrés,Ord. 007 de 1993 - 040 de 2001
Categoría Religiosa,Nàtaga,Antiguo Templo Parroquial,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Nàtaga,Iglesia Parroquial,Ord. 007 de 1992
Categoría Religiosa,Neiva,Iglesia Colonial,Ord. 007 de 1992
Categoría Religiosa,Neiva,Iglesia del Caguán,Ord. 007 de 1992
Categoría Religiosa,Neiva,Templo La Inmaculada Concepción,Ord. 007 de 1992
Categoría Religiosa,Neiva,Iglesia de San Luís,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Paicol,Templo Colonial,Ord. 007 de 1993 - 040 de 2001
Categoría Religiosa,Palermo,Gruta de Santa Rosalía,Ord. 025 de 1993 - 040 de 2001
Categoría Religiosa,Palermo,Templo Colonial,Ord. 007 de 1992
Categoría Religiosa,Pital,Iglesia Parroquial,Ord. 007 de 1992
Categoría Religiosa,Pital,Capilla de la Trinidad,Ord. 007 de 1992
