departamento,municipio,anio,mes,indicador,valor
HUILA,ACEVEDO,2018,enero,Visitantes PNN,218
HUILA,ACEVEDO,2018,enero,Visitantes extranjeros no residentes,2
HUILA,ACEVEDO,2018,febrero,Visitantes PNN,43
HUILA,ACEVEDO,2018,febrero,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2018,marzo,Visitantes PNN,161
HUILA,ACEVEDO,2018,abril,Visitantes PNN,113
HUILA,ACEVEDO,2018,abril,Visitantes extranjeros no residentes,3
HUILA,ACEVEDO,2018,mayo,Visitantes PNN,46
HUILA,ACEVEDO,2018,mayo,Visitantes extranjeros no residentes,4
HUILA,ACEVEDO,2018,junio,Visitantes PNN,49
HUILA,ACEVEDO,2018,julio,Visitantes PNN,83
HUILA,ACEVEDO,2018,julio,Visitantes extranjeros no residentes,2
HUILA,ACEVEDO,2018,agosto,Visitantes PNN,49
HUILA,ACEVEDO,2018,agosto,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2018,septiembre,Visitantes PNN,78
HUILA,ACEVEDO,2018,octubre,Visitantes PNN,62
HUILA,ACEVEDO,2018,noviembre,Visitantes PNN,216
HUILA,ACEVEDO,2018,noviembre,Visitantes extranjeros no residentes,2
HUILA,ACEVEDO,2018,diciembre,Visitantes PNN,99
HUILA,ACEVEDO,2018,diciembre,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2019,enero,Visitantes PNN,122
HUILA,ACEVEDO,2019,enero,Visitantes extranjeros no residentes,3
HUILA,ACEVEDO,2019,febrero,Visitantes PNN,27
HUILA,ACEVEDO,2019,febrero,Visitantes extranjeros no residentes,3
HUILA,ACEVEDO,2019,marzo,Visitantes PNN,27
HUILA,ACEVEDO,2019,abril,Visitantes PNN,128
HUILA,ACEVEDO,2019,abril,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2019,mayo,Visitantes PNN,5
HUILA,ACEVEDO,2019,mayo,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2019,junio,Visitantes PNN,0
HUILA,ACEVEDO,2019,julio,Visitantes extranjeros no residentes,2
HUILA,ACEVEDO,2019,julio,Visitantes PNN,0
HUILA,ACEVEDO,2019,agosto,Visitantes extranjeros no residentes,5
HUILA,ACEVEDO,2019,agosto,Visitantes PNN,0
HUILA,ACEVEDO,2019,septiembre,Visitantes extranjeros no residentes,3
HUILA,ACEVEDO,2019,septiembre,Visitantes PNN,0
HUILA,ACEVEDO,2019,octubre,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2019,octubre,Visitantes PNN,0
HUILA,ACEVEDO,2019,noviembre,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2019,noviembre,Visitantes PNN,0
HUILA,ACEVEDO,2019,diciembre,Visitantes extranjeros no residentes,2
HUILA,ACEVEDO,2019,diciembre,Visitantes PNN,0
HUILA,ACEVEDO,2020,enero,Visitantes extranjeros no residentes,7
HUILA,ACEVEDO,2020,enero,Visitantes PNN,0
HUILA,ACEVEDO,2020,febrero,Visitantes extranjeros no residentes,5
HUILA,ACEVEDO,2020,febrero,Visitantes PNN,1
HUILA,ACEVEDO,2020,marzo,Visitantes PNN,31
HUILA,ACEVEDO,2020,abril,Visitantes PNN,0
HUILA,ACEVEDO,2020,mayo,Visitantes PNN,0
HUILA,ACEVEDO,2020,junio,Visitantes PNN,0
HUILA,ACEVEDO,2020,julio,Visitantes PNN,0
HUILA,ACEVEDO,2020,agosto,Visitantes PNN,0
HUILA,ACEVEDO,2020,septiembre,Visitantes PNN,0
HUILA,ACEVEDO,2020,octubre,Visitantes PNN,0
HUILA,ACEVEDO,2020,noviembre,Visitantes PNN,0
HUILA,ACEVEDO,2020,diciembre,Visitantes extranjeros no residentes,5
HUILA,ACEVEDO,2020,diciembre,Visitantes PNN,0
HUILA,ACEVEDO,2021,enero,Visitantes PNN,0
HUILA,ACEVEDO,2021,febrero,Visitantes PNN,0
HUILA,ACEVEDO,2021,marzo,Visitantes PNN,11
HUILA,ACEVEDO,2021,abril,Visitantes PNN,26
HUILA,ACEVEDO,2021,abril,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2021,mayo,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2021,mayo,Visitantes PNN,0
HUILA,ACEVEDO,2021,junio,Visitantes PNN,24
HUILA,ACEVEDO,2021,junio,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2021,julio,Visitantes PNN,8
HUILA,ACEVEDO,2021,julio,Visitantes extranjeros no residentes,1
HUILA,ACEVEDO,2021,agosto,Visitantes PNN,17
HUILA,ACEVEDO,2021,agosto,Visitantes extranjeros no residentes,2
HUILA,ACEVEDO,2021,septiembre,Visitantes PNN,10
