departamento,municipio,categoria_grupo,rnt_count
HUILA,ACEVEDO,AGENCIAS DE VIAJES,4
HUILA,ACEVEDO,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,ACEVEDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,10
HUILA,ACEVEDO,VIVIENDAS TURÍSTICAS,1
HUILA,AGRADO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,2
HUILA,AGRADO,VIVIENDAS TURÍSTICAS,1
HUILA,AIPE,AGENCIAS DE VIAJES,6
HUILA,AIPE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,10
HUILA,AIPE,GUIAS DE TURISMO,2
HUILA,AIPE,VIVIENDAS TURÍSTICAS,8
HUILA,ALGECIRAS,AGENCIAS DE VIAJES,1
HUILA,ALGECIRAS,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,ALGECIRAS,VIVIENDAS TURÍSTICAS,3
HUILA,ALTAMIRA,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,ALTAMIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,4
HUILA,ALTAMIRA,VIVIENDAS TURÍSTICAS,5
HUILA,BARAYA,AGENCIAS DE VIAJES,1
HUILA,BARAYA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1
HUILA,BARAYA,GUIAS DE TURISMO,2
HUILA,BARAYA,VIVIENDAS TURÍSTICAS,2
HUILA,CAMPOALEGRE,AGENCIAS DE VIAJES,2
HUILA,CAMPOALEGRE,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,CAMPOALEGRE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,5
HUILA,CAMPOALEGRE,OPERADORES DE PLATAFORMAS ELECTRÓNICAS O DIGITALES DE SERVICIOS TURÍSTICOS,1
HUILA,CAMPOALEGRE,VIVIENDAS TURÍSTICAS,9
HUILA,COLOMBIA,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,COLOMBIA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1
HUILA,GIGANTE,AGENCIAS DE VIAJES,10
HUILA,GIGANTE,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,GIGANTE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,18
HUILA,GIGANTE,GUIAS DE TURISMO,4
HUILA,GIGANTE,VIVIENDAS TURÍSTICAS,31
HUILA,GUADALUPE,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,GUADALUPE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,4
HUILA,GUADALUPE,VIVIENDAS TURÍSTICAS,1
HUILA,HOBO,AGENCIAS DE VIAJES,1
HUILA,HOBO,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1
HUILA,HOBO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1
