columna,valor
departamento,CAQUETA
departamento,CAQUETÁ
departamento,HUILA
departamento,Huila
departamento,PUTUMAYO
departamento,TOLIMA
departamento,Tolima
municipio,ACEVEDO
municipio,AGRADO
municipio,AIPE
municipio,ALGECIRAS
municipio,ALPUJARRA
municipio,ALTAMIRA
municipio,ALVARADO
municipio,AMBALEMA
municipio,ARMERO
municipio,ATACO
municipio,Acevedo
municipio,BARAYA
municipio,CAJAMARCA
municipio,CAMPOALEGRE
municipio,CHAPARRAL
municipio,COELLO
municipio,COLAN
municipio,COLOMBIA
municipio,COYAIMA
municipio,CUNDAY
municipio,DOLORES
municipio,ESPINAL
municipio,FALAN
municipio,FLANDES
municipio,FLORENCIA
municipio,FRESNO
municipio,GARZON
municipio,GARZÓN
municipio,GIGANTE
municipio,GUADALUPE
municipio,GUAMO
municipio,HERVEO
municipio,HOBO
municipio,HONDA
municipio,IBAGUE
municipio,IBAGUÉ
municipio,ICONONZO
municipio,ISNOS
municipio,Ibagué
municipio,LA ARGENTINA
municipio,LA JAGUA
municipio,LA PLATA
municipio,LIBANO
municipio,MARIQUITA
municipio,MELGAR
municipio,MOCOA
municipio,MURILLO
municipio,NATAGAIMA
municipio,NEIVA
municipio,NÁTAGA
municipio,OPORAPA
municipio,ORITO
municipio,ORTEGA
municipio,PAICOL
municipio,PALERMO
municipio,PALOCABILDO
municipio,PIEDRAS
municipio,PITALITO
municipio,PLANADAS
municipio,PRADO
municipio,PUERTO CAICEDO
municipio,RIOBLANCO
municipio,RIVERA
municipio,RONCESVALLES
municipio,ROVIRA
municipio,SALADOBLANCO
municipio,SALDAÑA
municipio,SAN AGUSTIN
municipio,SAN AGUSTÍN
municipio,SAN ANTONIO
municipio,SAN FRANCISCO
municipio,SAN LUIS
municipio,SAN MIGUEL
municipio,SANTA ISABEL
municipio,SANTIAGO
municipio,SIBUNDOY
municipio,SUAZA
municipio,TARQUI
municipio,TELLO
municipio,TERUEL
municipio,TESALIA
municipio,TIMANÁ
municipio,VALLE DE SAN JUAN
municipio,VENADILLO
municipio,VILLA GARZÓN
municipio,VILLA VIEJA
municipio,VILLAHERMOSA
municipio,VILLAVIEJA
municipio,nan
anio,2015
anio,2016
anio,2017
anio,2018
anio,2019
anio,2020
anio,2021
anio,2022
anio,2023
anio,2024
anio,2025
anio,nan
mes,1
mes,2
mes,3
mes,4
mes,5
mes,6
mes,7
mes,8
mes,9
mes,10
mes,11
mes,12
mes,nan
indicador,Colegios Amigos del Turismo
indicador,Establecimientos de alojamiento y hospedaje
indicador,Llegadas internacionales
indicador,Prestadores con Check-in de bioseguridad
indicador,Prestadores de Servicios Turísticos activos por categoria
indicador,Prestadores de servicios turísticos activos en RNT
indicador,Salidas internacionales
indicador,Total Camas Establecimientos de Alojamiento y Hospedaje
indicador,Total Habitaciones Establecimientos de Alojamiento y Hospedaje
indicador,Visitantes No Residentes por origen
indicador,Visitantes No Residentes total por departamento
indicador,Visitantes a Parques Nacionales Naturales
indicador,Visitantes extranjeros no residentes
indicador,Visitantes por atractivo
indicador,llegadas pasajeros Nacionales
pais_origen,Albania
pais_origen,Alemania
pais_origen,Andorra
pais_origen,Angola
pais_origen,Antigua y Barbuda
pais_origen,Antillas Neerlandesas
pais_origen,Arabia Saudita
pais_origen,Argelia
pais_origen,Argentina
pais_origen,Armenia
pais_origen,Aruba
pais_origen,Australia
pais_origen,Austria
pais_origen,Azerbaiyán
pais_origen,Bahamas
pais_origen,Bangladesh
pais_origen,Barbados
pais_origen,Belice
pais_origen,Benín
pais_origen,Bielorrusia
pais_origen,Bolivia
pais_origen,Bonaire-San Esustaquio y Saba
pais_origen,Bosnia
pais_origen,Brasil
pais_origen,Brunéi
pais_origen,Bulgaria
pais_origen,Burkina Faso
pais_origen,Bélgica
pais_origen,Cabo Verde
pais_origen,Camerún
pais_origen,Canadá
pais_origen,Chile
pais_origen,China
pais_origen,Chipre
pais_origen,Corea del Sur
pais_origen,Costa Rica
pais_origen,Costa de Marfil
pais_origen,Croacia
pais_origen,Cuba
pais_origen,Curazao
pais_origen,Dinamarca
pais_origen,Dominica
pais_origen,Ecuador
pais_origen,Egipto
pais_origen,El Salvador
pais_origen,Emiratos Árabes Unidos
pais_origen,Eslovaquia
pais_origen,Eslovenia
pais_origen,España
pais_origen,Estados Unidos
pais_origen,Estonia
pais_origen,Filipinas
pais_origen,Finlandia
pais_origen,Fiyi
pais_origen,Francia
pais_origen,Georgia
pais_origen,Ghana
pais_origen,Granada
pais_origen,Grecia
pais_origen,Guatemala
pais_origen,Guayana Francesa
pais_origen,Guinea Ecuatorial
pais_origen,Guyana
pais_origen,Haití
pais_origen,Honduras
pais_origen,Hong Kong
pais_origen,Hungría
pais_origen,India
pais_origen,Indonesia
pais_origen,Iraq
pais_origen,Irlanda
pais_origen,Irán
pais_origen,Isla Aland
pais_origen,Islandia
pais_origen,Islas Caimán
pais_origen,Islas Cook
pais_origen,Islas Vírgenes Estadounidenses
pais_origen,Israel
pais_origen,Italia
pais_origen,Jamaica
pais_origen,Japón
pais_origen,Jordania
pais_origen,Kazajistán
pais_origen,Kenia
pais_origen,Letonia
pais_origen,Liechtenstein
pais_origen,Lituania
pais_origen,Luxemburgo
pais_origen,Líbano
pais_origen,Malasia
pais_origen,Malta
pais_origen,Marruecos
pais_origen,Mayotte
pais_origen,Moldavia
pais_origen,Montenegro
pais_origen,Mozambique
pais_origen,México
pais_origen,Mónaco
pais_origen,Nepal
pais_origen,Nicaragua
pais_origen,Nigeria
pais_origen,Noruega
pais_origen,Nueva Zelanda
pais_origen,Organismos internacionales
pais_origen,Palestina
pais_origen,Panamá
pais_origen,Paraguay
pais_origen,Países Bajos
pais_origen,Perú
pais_origen,Polonia
pais_origen,Portugal
pais_origen,Puerto Rico
pais_origen,Qatar
pais_origen,Reino Unido
pais_origen,República Checa
pais_origen,República Democratica del Congo
pais_origen,República Dominicana
pais_origen,Ruanda
pais_origen,Rumania
pais_origen,Rusia
pais_origen,San Cristóbal y Nieves
pais_origen,San Martin
pais_origen,San Martín
pais_origen,Santa Lucia
pais_origen,Serbia
pais_origen,Sin Especificar
pais_origen,Singapur
pais_origen,Siria
pais_origen,Sri Lanka
pais_origen,Sudan del Sur
pais_origen,Sudáfrica
