departamento,titulo,categoria,descripcion,enlace,redes,archivo_origen
Caquetá,"Cerca de 50.000 visitas a la Vitrina Turística Anato 2024 confirman el interés por los destinos de Colombia, #ElPaísDeLaBelleza",,"Bogotá Colombia Cerca de 50.000 visitas a la Vitrina Turística Anato 2024 confirman el interés por los destinos de Colombia, #ElPaísDeLaBelleza 1 Marzo, 2024 Facebook X WhatsApp LinkedIn • Los stands de Territorios Turísticos de Paz y Pueblos Patrimonio cerraron con más de $2.200 millones en expectativas de negocios. • Se atendieron 456 citas de acompañamiento para presentación de proyectos ante el Ministerio y Fontur. • Nariño se llevó el primer lugar de mejor stand, por segundo año consecutivo…",http://www.fontur.com.co/es/comunicados/cerca-de-50000-visitas-la-vitrina-turistica-anato-2024-confirman-el-interes-por-los,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,El Gobierno del Cambio ha invertido más de $67.000 millones en desarrollo turístico de los municipios PDET,,"Colombia El Gobierno del Cambio ha invertido más de $67.000 millones en desarrollo turístico de los municipios PDET 7 Diciembre, 2023 Facebook X WhatsApp LinkedIn El Ministerio de Comercio, Industria y Turismo, a través de Fontur, gestionó durante este año 50 proyectos de infraestructura, competitividad turística, promoción e inversión territorial en 123 municipios con Programas de Desarrollo con Enfoque Territorial, PDET . Bogotá, 7 de diciembre de 2023. ( @MincomercioCo-@Fonturcol ). En línea …",http://www.fontur.com.co/es/comunicados/el-gobierno-del-cambio-ha-invertido-mas-de-67000-millones-en-desarrollo-turistico-de,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,El festival internacional de música sacra llega a los territorios turísticos de paz,,"Colombia El festival internacional de música sacra llega a los territorios turísticos de paz 29 Noviembre, 2023 Facebook X WhatsApp LinkedIn • El Ministerio de Comercio, Industria y Turismo, a través de Fontur, destinó $746 millones de pesos para promover el turismo cultural y religioso en San José del Guaviare, Santa Marta, Florencia, Valledupar, San Jacinto, San Andrés de Tumaco y el barrio Siloé en Cali. • Del 2 de diciembre al 27 de enero de 2024, residentes y visitantes de estos territorios…",http://www.fontur.com.co/es/comunicados/el-festival-internacional-de-musica-sacra-llega-los-territorios-turisticos-de-paz,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,El sector turístico se prepara para celebrar el segundo puente festivo del año,,"Colombia El sector turístico se prepara para celebrar el segundo puente festivo del año 15 Marzo, 2023 Facebook X WhatsApp LinkedIn • En este puente festivo se realizarán ferias y fiestas en 4 destinos del país. • Los viajes de los colombianos tienen un impacto positivo en más de 17.000 establecimientos de alojamiento y más de 1.300 gastronómicos. El turismo doméstico, la gastronomía y los viajes terrestres y aéreos serán los grandes protagonistas los próximos 18, 19 y 20 de marzo de 2023, cuand…",http://www.fontur.com.co/es/comunicados/el-sector-turistico-se-prepara-para-celebrar-el-segundo-puente-festivo-del-ano,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,FONTUR Y COTECMAR FIRMAN CONTRATO PARA LA CONSTRUCCIÓN E INSTALACIÓN DE 88 EMBARCADEROS TURÍSTICOS EN EL PAÍS,,"Colombia FONTUR Y COTECMAR FIRMAN CONTRATO PARA LA CONSTRUCCIÓN E INSTALACIÓN DE 88 EMBARCADEROS TURÍSTICOS EN EL PAÍS 5 Diciembre, 2023 Facebook X WhatsApp LinkedIn Este es un proyecto de infraestructura turística liderado por el Ministerio de Comercio, Industria y Turismo y ejecutado a través de Fontur, por un valor de $46.791 millones. Incluye la fabricación, suministro, transporte, instalación y puesta en funcionamiento de los embarcaderos fluviales flotantes. Los embarcaderos se instalarán …",http://www.fontur.com.co/es/comunicados/fontur-y-cotecmar-firman-contrato-para-la-construccion-e-instalacion-de-88-embarcaderos,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,"Fontur firmó convenio con Caldas - Manizales, Yopal y Huila para dar inicio al proyecto",,"Nacional Fontur firmó convenio con Caldas - Manizales, Yopal y Huila para dar inicio al proyecto 16 Mayo, 2020 Facebook X WhatsApp LinkedIn 'Cerramos esta semana con alegría luego de haber firmado varios convenios de cooperación con entidades territoriales, los cuales nos permitirán desde el Gobierno Nacional, trabajar de manera articulada por el bienestar del personal de la salud y sus familias en varios destinos del territorio nacional'. Así lo señaló la presidenta del Fondo Nacional de Turism…",http://www.fontur.com.co/es/comunicados/fontur-firmo-convenio-con-caldas-manizales-yopal-y-huila-para-dar-inicio-al-proyecto,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,Fontur lanza la plataforma “Nos Cuidan”,,"Nacional Fontur lanza la plataforma “Nos Cuidan” 2 Julio, 2020 Facebook X WhatsApp LinkedIn • “A partir de hoy estará disponible la plataforma “Nos Cuidan” con al que el Fondo Nacional de Turismo, FONTUR, busca que los trabajadores de la salud se inscriban y hagan parte del programa “Por Los Que Nos Cuidan”, afirmó la presidente del Fondo Nacional de Turismo, Fontur, Raquel Garavito Chapaval. Bogotá 2 de julio de 2020 (@fonturcol).- “El Fondo Nacional de Turismo, FONTUR, lanza la plataforma “Nos…",http://www.fontur.com.co/es/comunicados/fontur-lanza-la-plataforma-nos-cuidan,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,Fontur y las alcaldías de Florencia y Mocoa firmaron convenio para dar inicio al proyecto “Por los que nos cuidan”,,"Florencia Mocoa Fontur y las alcaldías de Florencia y Mocoa firmaron convenio para dar inicio al proyecto “Por los que nos cuidan” 14 Mayo, 2020 Facebook X WhatsApp LinkedIn El Fondo Nacional de Turismo, Fontur y las alcaldías de Florencia (Caquetá) y Mocoa (Putumayo), firmaron hoy el convenio de cooperación para iniciar la ejecución del proyecto “Por Los Que Nos Cuidan”, el cual busca proveer bienestar a los profesionales del sector de la salud. El Fondo Nacional de Turismo, Fontur y las alcald…",http://www.fontur.com.co/es/comunicados/fontur-y-las-alcaldias-de-florencia-y-mocoa-firmaron-convenio-para-dar-inicio-al,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,"Gobierno nacional lanza EMPRETUR, el primer programa de estímulos, incentivos y fomento al sector turístico",,"Tumaco Nariño Colombia Gobierno nacional lanza EMPRETUR, el primer programa de estímulos, incentivos y fomento al sector turístico 22 Noviembre, 2023 Facebook X WhatsApp LinkedIn ● Beneficiará a los micro, pequeños y medianos empresarios, emprendedores y actores de la economía popular y comunitaria que buscan consolidar a Colombia como #ElPaísDeLaBelleza. ● El Ministerio de Comercio, Industria y Turismo dispuso de más de $19.000 para sus primeras cuatro convocatorias. San Andrés de Tumaco, Nariñ…",http://www.fontur.com.co/es/comunicados/gobierno-nacional-lanza-empretur-el-primer-programa-de-estimulos-incentivos-y-fomento,,fontur_caqueta_2019plus_20250909-051445.csv
Caquetá,"La Macarena recibe el primer encuentro nacional de la Red de Destinos de Paz, en el corazón de Caño Cristales",,"Caño Cristales La Macarena recibe el primer encuentro nacional de la Red de Destinos de Paz, en el corazón de Caño Cristales 23 Julio, 2025 Facebook X WhatsApp LinkedIn - Más de 40 actores —entre firmantes de paz, víctimas y comunidades locales— de 19 municipios del país se reunirán en este espacio. - La Red de Destinos de Paz hace parte del proyecto Fortalecimiento del turismo en los Territorios Turísticos de Paz, que cuenta con una inversión superior a los $4.423 millones. - En la apertura de …",http://www.fontur.com.co/es/comunicados/la-macarena-recibe-el-primer-encuentro-nacional-de-la-red-de-destinos-de-paz-en-el,,fontur_caqueta_2019plus_20250909-051445.csv
